batter,season,oaa
670032,2021,26
664040,2021,-8
663993,2021,-3
476704,2021,-3
666158,2021,-4
592518,2021,3
641820,2021,0
622534,2021,17
669016,2021,2
606466,2021,-5
516782,2021,0
608686,2021,3
676801,2021,12
457705,2021,-7
641857,2021,11
643446,2021,5
593160,2021,6
543543,2021,-3
660162,2021,2
664238,2021,11
663624,2021,-10
656775,2021,11
571970,2021,5
571976,2021,0
571980,2021,-7
621028,2021,3
607043,2021,4
641933,2021,5
596059,2021,8
621566,2021,1
542364,2021,-2
605412,2021,-4
592626,2021,-5
444482,2021,4
502054,2021,-5
621433,2021,10
607680,2021,-1
570256,2021,-1
593871,2021,-4
572041,2021,0
595777,2021,-8
623912,2021,-7
608070,2021,7
543685,2021,-6
592669,2021,-3
650859,2021,-7
668804,2021,11
663586,2021,-3
519203,2021,6
673357,2021,5
645302,2021,2
663898,2021,-3
668942,2021,-10
500743,2021,-4
642708,2021,-4
592696,2021,-2
467793,2021,1
623993,2021,-4
593934,2021,-6
570731,2021,5
656941,2021,-10
608369,2021,-9
572122,2021,5
516416,2021,8
543760,2021,4
670097,2021,-5
592743,2021,16
642086,2021,-10
656976,2021,-2
669256,2021,1
456781,2021,0
624585,2021,-6
624641,2021,4
665742,2021,4
596115,2021,-7
664702,2021,9
553993,2021,-9
621020,2021,1
606132,2021,2
665487,2021,1
621035,2021,-3
572191,2021,14
647351,2021,-6
650402,2021,-9
591720,2021,4
663656,2021,3
457759,2021,0
607208,2021,2
570482,2021,-3
649966,2021,-11
602104,2021,-9
642162,2021,2
642165,2021,-4
683734,2021,-8
657077,2021,-5
542340,2021,-3
458015,2021,2
664774,2021,1
572233,2021,3
665120,2021,-4
621563,2021,8
608385,2021,-7
621550,2021,3
543939,2021,0
573262,2021,3
592885,2021,2
605548,2021,9
682928,2022,-9
547989,2022,1
660670,2022,-8
642715,2022,10
666176,2022,-3
645277,2022,4
642727,2022,-2
669397,2022,8
624413,2022,-8
514888,2022,1
605119,2022,-5
641313,2022,-2
462101,2022,3
606157,2022,2
